esmini GIT REV: 7df5a1c
esmini GIT TAG: 
esmini GIT BRANCH: master
esmini BUILD VERSION: N/A - client build
Scenario File Name: resources/xosc/./cut-in.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
0, 0.000000, Ego, 0, 18.055556, 0.000000, 0.000000, 8.173369, 49.970175, -0.040595, 0.066683, 18.055433, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000, -8.000000, 1.567103, 0.000000, 0.000000, 0.000000, 0.001495, -0.000013, , Obj1, 1, 14.166667, 0.000000, 0.000000, 5.080019, 149.970297, -0.249217, 0.090524, 14.166378, 0.000000, 0.000000, 0.000000, 0.000000, 150.000000, -4.425000, 1.564406, 0.000000, 0.000000, 0.000000, 0.002161, -0.000040, , 
1, 0.100000, Ego, 0, 18.055556, -0.000043, 5.158730, 8.180059, 51.775716, -0.043330, 0.066905, 18.055405, -0.027350, 0.002224, -0.000282, -0.273500, 51.805750, -8.000000, 1.567078, -0.000248, 0.000000, 0.000000, 0.001534, -0.000014, , Obj1, 1, 14.166667, -0.000128, 4.047619, 5.089112, 151.386934, -0.252270, 0.090932, 14.166369, -0.030536, 0.004072, -0.000085, -0.305362, 151.416920, -4.425000, 1.564349, -0.000576, 0.000000, 0.000000, 0.002149, -0.000041, , 
2, 0.200000, Ego, 0, 18.055556, -0.000045, 4.034275, 8.186795, 53.581256, -0.046136, 0.067361, 18.055403, -0.028054, 0.004555, -0.000017, -0.007042, 53.611508, -8.000000, 1.567053, -0.000257, 0.000000, 0.000000, 0.001573, -0.000014, , Obj1, 1, 14.166667, -0.000129, 1.812053, 5.098287, 152.803572, -0.255305, 0.091751, 14.166375, -0.030351, 0.008197, 0.000057, 0.001856, 152.833843, -4.425000, 1.564291, -0.000581, 0.000000, 0.000000, 0.002135, -0.000041, , 
3, 0.300000, Ego, 0, 18.055556, -0.000046, 2.909820, 8.193579, 55.386796, -0.049010, 0.067832, 18.055401, -0.028740, 0.004714, -0.000018, -0.006860, 55.417272, -8.000000, 1.567026, -0.000265, 0.000000, 0.000000, 0.001610, -0.000015, , Obj1, 1, 14.166667, -0.000130, 5.859672, 5.107545, 154.220210, -0.258322, 0.092578, 14.166382, -0.030162, 0.008268, 0.000069, 0.001885, 154.250768, -4.425000, 1.564232, -0.000586, 0.000000, 0.000000, 0.002122, -0.000042, , 
4, 0.400000, Ego, 0, 18.055556, -0.000048, 1.785365, 8.200411, 57.192336, -0.051951, 0.068319, 18.055399, -0.029408, 0.004873, -0.000018, -0.006678, 57.223044, -8.000000, 1.566999, -0.000274, 0.000000, 0.000000, 0.001647, -0.000015, , Obj1, 1, 14.166667, -0.000131, 3.624106, 5.116886, 155.636848, -0.261319, 0.093411, 14.166376, -0.029977, 0.008333, -0.000054, 0.001855, 155.667695, -4.425000, 1.564173, -0.000590, 0.000000, 0.000000, 0.002109, -0.000042, , 
5, 0.500000, Ego, 0, 18.055556, -0.000049, 0.660910, 8.207293, 58.997876, -0.054956, 0.068822, 18.055397, -0.030057, 0.005031, -0.000019, -0.006495, 59.028822, -8.000000, 1.566970, -0.000283, 0.000000, 0.000000, 0.001682, -0.000016, , Obj1, 1, 14.166667, -0.000132, 1.388540, 5.126311, 157.053485, -0.264299, 0.094251, 14.166371, -0.029794, 0.008398, -0.000055, 0.001823, 157.084624, -4.425000, 1.564113, -0.000595, 0.000000, 0.000000, 0.002096, -0.000042, , 
6, 0.600000, Ego, 0, 18.055556, -0.000051, 5.819640, 8.214227, 60.803415, -0.058025, 0.069341, 18.055395, -0.030689, 0.005190, -0.000020, -0.006313, 60.834608, -8.000000, 1.566941, -0.000292, 0.000000, 0.000000, 0.001717, -0.000016, , Obj1, 1, 14.166667, -0.000133, 5.436159, 5.135821, 158.470121, -0.267260, 0.095097, 14.166365, -0.029615, 0.008463, -0.000058, 0.001791, 158.501555, -4.425000, 1.564054, -0.000600, 0.000000, 0.000000, 0.002084, -0.000042, , 
7, 0.700000, Ego, 0, 18.055556, -0.000052, 4.695185, 8.221215, 62.608955, -0.061156, 0.069876, 18.055393, -0.031302, 0.005349, -0.000020, -0.006131, 62.640400, -8.000000, 1.566911, -0.000301, 0.000000, 0.000000, 0.001750, -0.000017, , Obj1, 1, 14.166667, -0.000134, 3.200593, 5.145416, 159.886757, -0.270204, 0.095950, 14.166359, -0.029439, 0.008528, -0.000057, 0.001758, 159.918488, -4.425000, 1.563993, -0.000604, 0.000000, 0.000000, 0.002072, -0.000043, , 
8, 0.800000, Ego, 0, 18.055556, -0.000054, 3.570730, 8.228257, 64.414494, -0.064345, 0.070427, 18.055391, -0.031897, 0.005508, -0.000021, -0.005948, 64.446200, -8.000000, 1.566880, -0.000309, 0.000000, 0.000000, 0.001782, -0.000017, , Obj1, 1, 14.166667, -0.000135, 0.965027, 5.155097, 161.303393, -0.273131, 0.096809, 14.166354, -0.029267, 0.008593, -0.000058, 0.001726, 161.335423, -4.425000, 1.563932, -0.000609, 0.000000, 0.000000, 0.002059, -0.000043, , 
9, 0.900000, Ego, 0, 18.055556, -0.000055, 2.446275, 8.235357, 66.220033, -0.067593, 0.070994, 18.055389, -0.032473, 0.005667, -0.000022, -0.005766, 66.252007, -8.000000, 1.566848, -0.000318, 0.000000, 0.000000, 0.001814, -0.000018, , Obj1, 1, 14.166667, -0.000136, 5.012646, 5.164864, 162.720027, -0.276041, 0.097675, 14.166348, -0.029097, 0.008658, -0.000059, 0.001694, 162.752360, -4.425000, 1.563871, -0.000613, 0.000000, 0.000000, 0.002048, -0.000043, , 
10, 1.000000, Ego, 0, 18.055556, -0.000057, 1.321820, 8.242514, 68.025571, -0.070896, 0.071576, 18.055387, -0.033032, 0.005825, -0.000023, -0.005584, 68.057821, -8.000000, 1.566816, -0.000327, 0.000000, 0.000000, 0.001844, -0.000018, , Obj1, 1, 14.166667, -0.000137, 2.777080, 5.174719, 164.136662, -0.278934, 0.098548, 14.166342, -0.028931, 0.008723, -0.000060, 0.001662, 164.169299, -4.425000, 1.563809, -0.000618, 0.000000, 0.000000, 0.002036, -0.000044, , 
11, 1.100000, Ego, 0, 18.055556, -0.000058, 0.197365, 8.249732, 69.831110, -0.074253, 0.072175, 18.055384, -0.033572, 0.005984, -0.000024, -0.005401, 69.863641, -8.000000, 1.566782, -0.000336, 0.000000, 0.000000, 0.001874, -0.000019, , Obj1, 1, 14.166667, -0.000138, 0.541513, 5.184662, 165.553295, -0.281811, 0.099426, 14.166336, -0.028768, 0.008788, -0.000061, 0.001629, 165.586241, -4.425000, 1.563747, -0.000623, 0.000000, 0.000000, 0.002025, -0.000044, , 
